user_id,content_id,view_start_time,device_type,view_end_time,region
1859,196,07-08-2025 04:27,Smart TV,07-08-2025 06:11,West India
914,228,23-12-2024 08:01,Mobile,23-12-2024 10:08,East India
2066,138,27-03-2025 04:35,Tablet,27-03-2025 07:25,East India
2967,182,28-06-2025 19:35,Mobile,28-06-2025 21:35,West India
4890,290,22-04-2025 01:51,Mobile,22-04-2025 03:33,South India
3838,191,23-06-2025 10:21,Laptop,23-06-2025 13:00,East India
1597,159,07-10-2025 17:10,Mobile,07-10-2025 19:30,South India
4443,192,05-06-2025 10:40,Tablet,05-06-2025 12:22,East India
1056,178,18-07-2025 04:02,Tablet,18-07-2025 05:25,East India
1024,37,14-02-2025 06:14,Laptop,14-02-2025 06:25,West India
3205,224,08-06-2025 11:09,Mobile,08-06-2025 14:08,West India
576,160,06-08-2025 09:40,Mobile,06-08-2025 10:32,North India
199,209,06-03-2025 10:32,Smart TV,06-03-2025 10:44,West India
1366,291,26-03-2025 06:13,Tablet,26-03-2025 07:44,East India
1999,249,24-07-2025 23:03,Laptop,25-07-2025 01:01,West India
1017,185,22-05-2025 13:20,Mobile,22-05-2025 16:03,West India
3619,288,18-01-2025 13:24,Mobile,18-01-2025 14:16,South India
26,226,22-08-2025 13:50,Smart TV,22-08-2025 16:28,West India
1559,226,30-07-2025 17:09,Smart TV,30-07-2025 18:33,West India
3725,8,16-11-2024 19:34,Mobile,16-11-2024 20:21,East India
3459,23,15-08-2025 11:53,Laptop,15-08-2025 12:47,North India
3357,223,25-09-2025 13:15,Smart TV,25-09-2025 15:48,East India
2368,166,21-08-2025 14:09,Mobile,21-08-2025 16:34,East India
471,275,07-01-2025 20:54,Mobile,07-01-2025 21:52,East India
2468,36,09-08-2025 18:55,Laptop,09-08-2025 19:50,South India
4747,177,11-04-2025 02:55,Tablet,11-04-2025 03:04,South India
886,188,05-04-2025 17:11,Smart TV,05-04-2025 19:05,West India
876,227,02-04-2025 12:28,Laptop,02-04-2025 13:24,West India
942,59,07-08-2025 15:03,Mobile,07-08-2025 15:08,East India
3042,257,25-09-2025 13:52,Smart TV,25-09-2025 14:06,North India
572,97,14-04-2025 09:49,Mobile,14-04-2025 12:41,East India
4150,209,05-06-2025 16:30,Mobile,05-06-2025 18:20,North India
605,249,08-04-2025 16:02,Mobile,08-04-2025 18:07,North India
4421,261,02-09-2025 22:53,Laptop,03-09-2025 00:43,North India
3530,58,15-01-2025 16:37,Smart TV,15-01-2025 19:12,East India
4981,57,05-07-2025 21:21,Smart TV,06-07-2025 00:00,East India
4361,170,14-10-2025 04:21,Tablet,14-10-2025 05:31,West India
382,73,27-03-2025 19:06,Laptop,27-03-2025 21:35,West India
1237,22,21-06-2025 13:31,Tablet,21-06-2025 15:04,North India
2381,53,28-09-2025 11:23,Tablet,28-09-2025 11:56,East India
3780,57,16-12-2024 22:31,Mobile,16-12-2024 22:37,North India
2106,103,03-01-2025 02:10,Smart TV,03-01-2025 03:29,South India
1518,112,16-03-2025 01:21,Laptop,16-03-2025 02:42,East India
1534,261,03-05-2025 10:11,Laptop,03-05-2025 11:12,West India
3295,135,28-01-2025 15:13,Mobile,28-01-2025 17:13,West India
3441,185,09-03-2025 23:43,Smart TV,09-03-2025 23:56,North India
3490,26,07-07-2025 20:57,Smart TV,07-07-2025 23:02,South India
3946,25,26-05-2025 08:13,Laptop,26-05-2025 10:59,South India
4643,264,28-06-2025 17:18,Tablet,28-06-2025 20:05,East India
871,9,17-06-2025 23:23,Smart TV,18-06-2025 01:02,South India
2151,220,22-10-2025 10:14,Laptop,22-10-2025 12:59,North India
3233,276,12-01-2025 11:11,Mobile,12-01-2025 13:57,North India
3232,195,23-03-2025 17:29,Mobile,23-03-2025 19:00,South India
3767,172,17-03-2025 00:26,Tablet,17-03-2025 02:23,East India
4961,170,05-02-2025 03:49,Tablet,05-02-2025 04:20,South India
3208,112,02-07-2025 06:45,Smart TV,02-07-2025 07:43,East India
4494,171,24-02-2025 07:27,Mobile,24-02-2025 10:17,West India
4488,214,29-07-2025 00:11,Smart TV,29-07-2025 01:10,South India
3827,174,28-04-2025 08:26,Laptop,28-04-2025 09:58,East India
1613,290,12-07-2025 08:27,Smart TV,12-07-2025 09:27,West India
1078,68,15-07-2025 12:45,Mobile,15-07-2025 15:44,West India
1301,146,13-11-2024 20:41,Tablet,13-11-2024 21:42,North India
2159,139,03-09-2025 01:28,Mobile,03-09-2025 04:15,East India
2272,219,01-05-2025 22:02,Smart TV,01-05-2025 23:06,South India
2530,25,24-08-2025 00:47,Mobile,24-08-2025 00:57,South India
3261,252,06-03-2025 00:46,Smart TV,06-03-2025 03:01,West India
364,215,20-10-2025 16:10,Tablet,20-10-2025 17:50,North India
846,165,02-01-2025 08:48,Smart TV,02-01-2025 09:37,East India
3033,81,23-06-2025 08:16,Laptop,23-06-2025 08:27,North India
1328,77,10-10-2025 23:41,Mobile,11-10-2025 00:52,West India
3163,284,04-07-2025 09:53,Mobile,04-07-2025 12:22,North India
392,158,19-11-2024 01:59,Mobile,19-11-2024 02:41,East India
3256,174,02-05-2025 04:41,Smart TV,02-05-2025 05:32,North India
2060,168,22-02-2025 11:32,Laptop,22-02-2025 13:45,North India
3238,149,12-07-2025 00:18,Smart TV,12-07-2025 00:33,West India
2047,143,13-05-2025 21:30,Mobile,13-05-2025 22:36,North India
4242,131,04-01-2025 18:44,Smart TV,04-01-2025 18:57,West India
1306,97,03-09-2025 09:15,Tablet,03-09-2025 11:32,North India
2895,264,08-07-2025 02:33,Mobile,08-07-2025 03:17,North India
2033,165,19-04-2025 08:40,Smart TV,19-04-2025 09:41,East India
765,19,23-04-2025 15:37,Tablet,23-04-2025 16:14,East India
499,283,27-06-2025 14:10,Smart TV,27-06-2025 17:00,West India
3369,16,08-03-2025 14:46,Tablet,08-03-2025 16:57,West India
2945,2,04-12-2024 19:03,Tablet,04-12-2024 20:49,North India
3805,10,03-09-2025 05:53,Tablet,03-09-2025 06:27,West India
4214,106,29-04-2025 09:46,Mobile,29-04-2025 12:31,East India
4461,17,21-06-2025 07:27,Smart TV,21-06-2025 09:38,South India
136,204,08-07-2025 15:32,Mobile,08-07-2025 17:01,South India
1101,7,13-04-2025 06:49,Smart TV,13-04-2025 09:41,West India
1872,201,17-05-2025 11:44,Tablet,17-05-2025 14:18,South India
4034,46,18-11-2024 17:46,Smart TV,18-11-2024 18:13,North India
4114,178,16-06-2025 18:47,Mobile,16-06-2025 21:21,West India
4013,10,11-11-2024 20:22,Mobile,11-11-2024 21:02,East India
205,272,13-06-2025 05:07,Tablet,13-06-2025 07:20,South India
4595,257,09-09-2025 23:50,Mobile,10-09-2025 01:10,South India
2372,137,29-06-2025 13:00,Mobile,29-06-2025 14:11,East India
4691,13,06-05-2025 22:42,Tablet,07-05-2025 01:19,North India
562,189,09-03-2025 13:53,Mobile,09-03-2025 15:30,South India
3315,144,03-08-2025 18:30,Smart TV,03-08-2025 19:55,West India
3961,226,01-08-2025 07:55,Smart TV,01-08-2025 08:21,East India
2527,286,22-05-2025 18:29,Tablet,22-05-2025 20:49,East India
2212,205,17-02-2025 08:26,Laptop,17-02-2025 10:04,North India
2372,183,15-06-2025 12:09,Tablet,15-06-2025 15:04,East India
